#Zip performance
Scenario  NATIVE   UCSG
"L2"      24.58474 9.14520
"L1+L2"   48.73223 33.70523
"M+L2"    50.91968 40.18738
"M+L1+L2" 75.89304 61.50734
"H+L2"    44.92375 30.52391
"H+L1+L2" 63.65572 36.62472
