#Zip energy
Scenario  NATIVE   UCSG
"L1"      26.32652 20.74378
"L1+L2"   48.73223 33.70523
"M+L1"    54.94223 48.50843
"M+L1+L2" 75.89304 61.50734
"H+L1"    46.39010 35.89061
"H+L1+L2" 63.65572 36.62472
