#Zip performance
Scenario  NATIVE  UCSG
"L1"      20.03   25.87
"L1+L2"   22.03   36.93
"M+L1"    23.00   42.00 
"M+L1+L2" 26.34   63.46
"H+L1"    22.50   48.60
"H+L1+L2" 27.54   54.04
